node_ids timestamps
0 1007.0
0 1981.0
0 2905.0
0 3901.0
0 4930.0
0 5922.0
0 6137.0
0 6205.0
0 6266.0
0 6341.0
0 6404.0
0 6464.0
0 6531.0
0 6599.0
0 6667.0
0 6730.0
0 6800.0
0 6865.0
0 6929.0
0 6995.0
0 7063.0
0 7122.0
0 7185.0
0 7248.0
0 7315.0
0 7375.0
0 7442.0
0 7501.0
0 7570.0
0 7638.0
0 7709.0
0 7781.0
0 7852.0
0 7923.0
0 7998.0
0 8061.0
0 9128.0
1 1014.0
1 1986.0
1 2980.0
1 3987.0
1 5020.0
1 6033.0
1 6132.0
1 6188.0
1 6257.0
1 6329.0
1 6405.0
1 6465.0
1 6524.0
1 6591.0
1 6657.0
1 6723.0
1 6800.0
1 6872.0
1 6919.0
1 6985.0
1 7051.0
1 7117.0
1 7179.0
1 7250.0
1 7323.0
1 7395.0
1 7460.0
1 7527.0
1 7608.0
1 7666.0
1 7737.0
1 7801.0
1 7870.0
1 7921.0
1 7975.0
1 8048.0
1 9116.0
2 987.0
2 1980.0
2 2996.0
2 3993.0
2 4998.0
2 5962.0
2 6148.0
2 6201.0
2 6261.0
2 6314.0
2 6381.0
2 6435.0
2 6497.0
2 6561.0
2 6628.0
2 6681.0
2 6742.0
2 6810.0
2 6896.0
2 6969.0
2 7029.0
2 7094.0
2 7165.0
2 7240.0
2 7297.0
2 7365.0
2 7424.0
2 7491.0
2 7558.0
2 7644.0
2 7712.0
2 7769.0
2 7845.0
2 7920.0
2 7981.0
2 8052.0
2 9088.0
3 953.0
3 1874.0
3 2873.0
3 3883.0
3 4935.0
3 5939.0
3 6151.0
3 6210.0
3 6267.0
3 6327.0
3 6382.0
3 6441.0
3 6501.0
3 6561.0
3 6653.0
3 6727.0
3 6783.0
3 6859.0
3 6914.0
3 6982.0
3 7059.0
3 7133.0
3 7209.0
3 7270.0
3 7373.0
3 7448.0
3 7509.0
3 7565.0
3 7628.0
3 7700.0
3 7793.0
3 7868.0
3 7931.0
3 7994.0
3 8059.0
3 9173.0
4 1046.0
4 2012.0
4 2995.0
4 3958.0
4 5003.0
4 6016.0
4 6151.0
4 6217.0
4 6293.0
4 6351.0
4 6416.0
4 6470.0
4 6546.0
4 6600.0
4 6665.0
4 6739.0
4 6805.0
4 6872.0
4 6943.0
4 7007.0
