node_ids timestamps
0 224.0
0 409.0
0 634.0
0 834.0
0 1034.0
0 1225.0
0 1426.0
0 1611.0
0 1819.0
0 2013.0
0 2127.0
0 2271.0
0 2417.0
0 2578.0
0 2742.0
0 2888.0
0 3069.0
0 3203.0
0 3335.0
0 3481.0
0 3611.0
0 3727.0
0 3840.0
0 3957.0
0 4072.0
0 4177.0
0 4296.0
0 4421.0
0 4523.0
0 4656.0
0 4729.0
0 4814.0
0 4907.0
0 4997.0
0 5090.0
0 5185.0
0 5265.0
0 5354.0
0 5451.0
0 5544.0
0 5604.0
0 5657.0
0 5737.0
0 5806.0
0 5879.0
0 5943.0
0 5997.0
0 6066.0
0 6130.0
0 6188.0
0 6252.0
0 6301.0
0 6352.0
0 6401.0
0 6443.0
0 6501.0
0 6547.0
0 6605.0
0 6657.0
0 6705.0
0 6743.0
0 6778.0
0 6827.0
0 6864.0
0 6895.0
0 6931.0
0 6974.0
0 7009.0
0 7039.0
0 7081.0
0 7110.0
0 7141.0
0 7165.0
0 7200.0
0 7230.0
0 7255.0
0 7289.0
0 7326.0
0 7351.0
0 7375.0
0 7575.0
0 7764.0
0 7921.0
0 8121.0
0 8329.0
0 8545.0
0 8720.0
0 8914.0
0 9112.0
0 9310.0
0 9508.0
0 9701.0
0 9897.0
1 184.0
1 375.0
1 564.0
1 746.0
1 948.0
1 1134.0
1 1333.0
1 1533.0
1 1748.0
1 1954.0
1 2085.0
1 2226.0
1 2374.0
1 2522.0
1 2675.0
1 2826.0
1 2954.0
1 3098.0
1 3238.0
1 3396.0
1 3508.0
1 3624.0
1 3746.0
1 3881.0
1 4005.0
1 4117.0
1 4234.0
1 4356.0
1 4474.0
1 4601.0
1 4685.0
1 4768.0
1 4850.0
1 4929.0
1 5024.0
1 5111.0
1 5194.0
1 5282.0
1 5374.0
1 5458.0
1 5526.0
1 5581.0
1 5649.0
1 5719.0
1 5785.0
1 5855.0
1 5931.0
1 6018.0
1 6076.0
1 6138.0
1 6191.0
1 6240.0
1 6292.0
1 6348.0
1 6393.0
1 6437.0
1 6482.0
1 6540.0
1 6598.0
1 6655.0
1 6695.0
1 6747.0
1 6791.0
1 6819.0
1 6863.0
1 6892.0
1 6923.0
1 6956.0
1 6993.0
1 7034.0
1 7074.0
1 7104.0
1 7128.0
1 7159.0
1 7185.0
1 7214.0
1 7239.0
1 7258.0
1 7290.0
1 7313.0
1 7498.0
1 7695.0
1 7906.0
1 8117.0
1 8329.0
1 8522.0
1 8701.0
1 8911.0
1 9117.0
1 9291.0
1 9478.0
1 9669.0
1 9873.0
2 182.0
2 369.0
2 607.0
2 777.0
2 978.0
2 1157.0
2 1345.0
2 1559.0
2 1760.0
2 1987.0
2 2132.0
2 2282.0
2 2429.0
2 2574.0
2 2739.0
2 2901.0
2 3055.0
2 3195.0
2 3359.0
2 3491.0
2 3609.0
2 3717.0
2 3833.0
2 3955.0
2 4066.0
2 4171.0
2 4296.0
2 4419.0
2 4541.0
2 4652.0
2 4742.0
2 4829.0
2 4910.0
2 4990.0
2 5060.0
2 5130.0
2 5226.0
2 5318.0
2 5404.0
2 5494.0
2 5567.0
2 5657.0
2 5725.0
2 5782.0
2 5840.0
2 5909.0
2 5975.0
2 6034.0
2 6099.0
2 6154.0
2 6207.0
2 6262.0
2 6313.0
2 6363.0
2 6445.0
2 6497.0
2 6545.0
2 6595.0
2 6642.0
2 6692.0
2 6739.0
2 6775.0
2 6804.0
2 6844.0
2 6893.0
2 6936.0
2 6972.0
2 7005.0
2 7042.0
2 7080.0
2 7108.0
2 7141.0
2 7171.0
2 7198.0
2 7231.0
2 7256.0
2 7280.0
2 7316.0
2 7348.0
2 7381.0
2 7576.0
2 7774.0
2 7954.0
2 8129.0
2 8332.0
2 8549.0
2 8773.0
2 8979.0
2 9186.0
2 9378.0
2 9565.0
2 9750.0
2 9950.0
3 187.0
3 386.0
3 572.0
3 790.0
3 999.0
3 1199.0
3 1414.0
